Zone,Year,Disease,Number of Cases,"Rate per 100,000 population"
Eastern,2017,Botulism,0,0
Central,2017,Botulism,0,0
Nova Scotia,2017,Botulism,0,0
Western,2017,Brucellosis,0,0
Northern,2017,Brucellosis,0,0
Eastern,2017,Brucellosis,0,0
Central,2017,Brucellosis,0,0
Nova Scotia,2017,Brucellosis,0,0
Western,2017,Campylobacteriosis,64,32.9
Northern,2017,Campylobacteriosis,21,14.1
Eastern,2017,Campylobacteriosis,16,10.2
Central,2017,Campylobacteriosis,84,18.6
Nova Scotia,2017,Campylobacteriosis,185,19.4
Western,2017,Chlamydia,492,252.6
Northern,2017,Chlamydia,292,195.8
Eastern,2017,Chlamydia,381,242.3
Central,2017,Chlamydia,1823,402.7
Nova Scotia,2017,Chlamydia,2988,313.3
Western,2017,Cholera,0,0
Northern,2017,Cholera,0,0
Eastern,2017,Cholera,0,0
Central,2017,Cholera,0,0
Nova Scotia,2017,Cholera,0,0
Western,2017,Clostridium difficile,178,91.4
Northern,2017,Clostridium difficile,111,74.4
Eastern,2017,Clostridium difficile,208,132.3
Central,2017,Clostridium difficile,430,95
Nova Scotia,2017,Clostridium difficile,927,97.2
Western,2017,Creutzfeldt-Jakob Disease - Classic,0,0
Northern,2017,Creutzfeldt-Jakob Disease - Classic,0,0
Eastern,2017,Creutzfeldt-Jakob Disease - Classic,0,0
Central,2017,Creutzfeldt-Jakob Disease - Classic,1,0.2
Nova Scotia,2017,Creutzfeldt-Jakob Disease - Classic,1,0.1
Western,2017,Creutzfeldt-Jakob Disease - Unknown,0,0
Northern,2017,Creutzfeldt-Jakob Disease - Unknown,0,0
Eastern,2017,Creutzfeldt-Jakob Disease - Unknown,0,0
Central,2017,Creutzfeldt-Jakob Disease - Unknown,0,0
Nova Scotia,2017,Creutzfeldt-Jakob Disease - Unknown,0,0
Western,2017,Creutzfeldt-Jakob Disease - Variant,0,0
Northern,2017,Creutzfeldt-Jakob Disease - Variant,0,0
Eastern,2017,Creutzfeldt-Jakob Disease - Variant,0,0
Central,2017,Creutzfeldt-Jakob Disease - Variant,0,0
Nova Scotia,2017,Creutzfeldt-Jakob Disease - Variant,0,0
Western,2017,Cryptosporidiosis,11,5.6
Northern,2017,Cryptosporidiosis,9,6
Eastern,2017,Cryptosporidiosis,5,3.2
Central,2017,Cryptosporidiosis,16,3.5
Nova Scotia,2017,Cryptosporidiosis,41,4.3
Western,2017,Cyclosporiasis,0,0
Northern,2017,Cyclosporiasis,1,0.7
Eastern,2017,Cyclosporiasis,0,0
Central,2017,Cyclosporiasis,1,0.2
Nova Scotia,2017,Cyclosporiasis,2,0.2
Western,2017,Diphtheria,0,0
Northern,2017,Diphtheria,0,0
Eastern,2017,Diphtheria,0,0
Central,2017,Diphtheria,0,0
Nova Scotia,2017,Diphtheria,0,0
Western,2017,Ebola Virus Disease,0,0
Northern,2017,Ebola Virus Disease,0,0
Eastern,2017,Ebola Virus Disease,0,0
Central,2017,Ebola Virus Disease,0,0
Nova Scotia,2017,Ebola Virus Disease,0,0
Western,2017,Encephalitis - Viral,0,0
Northern,2017,Encephalitis - Viral,0,0
Eastern,2017,Encephalitis - Viral,0,0
Central,2017,Encephalitis - Viral,0,0
Nova Scotia,2017,Encephalitis - Viral,0,0
Western,2017,Giardiasis,22,11.3
Northern,2017,Giardiasis,8,5.4
Eastern,2017,Giardiasis,17,10.8
Central,2017,Giardiasis,46,10.2
Nova Scotia,2017,Giardiasis,93,9.7
Western,2017,Gonorrhea,11,5.6
Northern,2017,Gonorrhea,18,12.1
Eastern,2017,Gonorrhea,12,7.6
Central,2017,Gonorrhea,192,42.4
Nova Scotia,2017,Gonorrhea,233,24.4
Western,2017,Group A Streptococcal Disease Invasive,0,0
Northern,2017,Group A Streptococcal Disease Invasive,0,0
Eastern,2017,Group A Streptococcal Disease Invasive,0,0
Central,2017,Group A Streptococcal Disease Invasive,0,0
Nova Scotia,2017,Group A Streptococcal Disease Invasive,0,0
Western,2017,Group A Streptococcal Disease Invasive -> non-Severe,1,0.5
Northern,2017,Group A Streptococcal Disease Invasive -> non-Severe,9,6
Eastern,2017,Group A Streptococcal Disease Invasive -> non-Severe,4,2.5
Central,2017,Group A Streptococcal Disease Invasive -> non-Severe,16,3.5
Nova Scotia,2017,Group A Streptococcal Disease Invasive -> non-Severe,30,3.1
Western,2017,Group A Streptococcal Disease Invasive -> Severe,4,2.1
Northern,2017,Group A Streptococcal Disease Invasive -> Severe,5,3.4
Eastern,2017,Group A Streptococcal Disease Invasive -> Severe,1,0.6
Central,2017,Group A Streptococcal Disease Invasive -> Severe,6,1.3
Nova Scotia,2017,Group A Streptococcal Disease Invasive -> Severe,16,1.7
Western,2017,Group B Streptococcal Disease of the Newborn,0,0
Northern,2017,Group B Streptococcal Disease of the Newborn,1,0.7
Eastern,2017,Group B Streptococcal Disease of the Newborn,0,0
Central,2017,Group B Streptococcal Disease of the Newborn,2,0.4
Nova Scotia,2017,Group B Streptococcal Disease of the Newborn,3,0.3
Western,2017,Haemophilus influenzae Type b Invasive Disease,0,0
Northern,2017,Haemophilus influenzae Type b Invasive Disease,0,0
Eastern,2017,Haemophilus influenzae Type b Invasive Disease,0,0
Central,2017,Haemophilus influenzae Type b Invasive Disease,1,0.2
Nova Scotia,2017,Haemophilus influenzae Type b Invasive Disease,1,0.1
Western,2017,Hantavirus Pulmonary Syndrome,0,0
Northern,2017,Hantavirus Pulmonary Syndrome,0,0
Eastern,2017,Hantavirus Pulmonary Syndrome,0,0
Central,2017,Hantavirus Pulmonary Syndrome,0,0
Nova Scotia,2017,Hantavirus Pulmonary Syndrome,0,0
Western,2017,Hepatitis A,0,0
Northern,2017,Hepatitis A,0,0
Eastern,2017,Hepatitis A,0,0
Central,2017,Hepatitis A,2,0.4
Nova Scotia,2017,Hepatitis A,2,0.2
Western,2017,Hepatitis B - Acute,0,0
Northern,2017,Hepatitis B - Acute,1,0.7
Eastern,2017,Hepatitis B - Acute,1,0.6
Central,2017,Hepatitis B - Acute,4,0.9
Nova Scotia,2017,Hepatitis B - Acute,6,0.6
Western,2017,Hepatitis B - Chronic,7,3.6
Northern,2017,Hepatitis B - Chronic,0,0
Eastern,2017,Hepatitis B - Chronic,1,0.6
Central,2017,Hepatitis B - Chronic,10,2.2
Nova Scotia,2017,Hepatitis B - Chronic,18,1.9
Western,2017,Hepatitis B - Chronic or Unspecified,0,0
Northern,2017,Hepatitis B - Chronic or Unspecified,0,0
Eastern,2017,Hepatitis B - Chronic or Unspecified,0,0
Central,2017,Hepatitis B - Chronic or Unspecified,0,0
Nova Scotia,2017,Hepatitis B - Chronic or Unspecified,0,0
Western,2017,Hepatitis C,36,18.5
Northern,2017,Hepatitis C,84,56.3
Eastern,2017,Hepatitis C,83,52.8
Central,2017,Hepatitis C,92,20.3
Nova Scotia,2017,Hepatitis C,295,30.9
Western,2017,Hepatitis E,0,0
Northern,2017,Hepatitis E,0,0
Eastern,2017,Hepatitis E,0,0
Central,2017,Hepatitis E,0,0
Nova Scotia,2017,Hepatitis E,0,0
Western,2017,Human Immunodeficiency Virus,3,1.5
Northern,2017,Human Immunodeficiency Virus,1,0.7
Eastern,2017,Human Immunodeficiency Virus,1,0.6
Central,2017,Human Immunodeficiency Virus,8,1.8
Nova Scotia,2017,Human Immunodeficiency Virus,15,1.6
Western,2017,Influenza,0,0
Northern,2017,Influenza,0,0
Eastern,2017,Influenza,0,0
Central,2017,Influenza,0,0
Nova Scotia,2017,Influenza,0,0
Western,2017,Legionellosis,0,0
Northern,2017,Legionellosis,1,0.7
Eastern,2017,Legionellosis,0,0
Central,2017,Legionellosis,8,1.8
Nova Scotia,2017,Legionellosis,9,0.9
Western,2017,Leprosy,0,0
Northern,2017,Leprosy,0,0
Eastern,2017,Leprosy,0,0
Central,2017,Leprosy,0,0
Nova Scotia,2017,Leprosy,0,0
Western,2017,Listeriosis - Invasive,0,0
Northern,2017,Listeriosis - Invasive,0,0
Eastern,2017,Listeriosis - Invasive,0,0
Central,2017,Listeriosis - Invasive,4,0.9
Nova Scotia,2017,Listeriosis - Invasive,4,0.4
Western,2017,Lyme Disease - Confirmed,223,114.5
Northern,2017,Lyme Disease - Confirmed,34,22.8
Eastern,2017,Lyme Disease - Confirmed,3,1.9
Central,2017,Lyme Disease - Confirmed,47,10.4
Nova Scotia,2017,Lyme Disease - Confirmed,307,32.2
Western,2017,Lyme Disease - Probable,248,127.3
Northern,2017,Lyme Disease - Probable,7,4.7
Eastern,2017,Lyme Disease - Probable,1,0.6
Central,2017,Lyme Disease - Probable,23,5.1
Nova Scotia,2017,Lyme Disease - Probable,279,29.2
Western,2017,Lymphogranuloma Venereum,0,0
Northern,2017,Lymphogranuloma Venereum,0,0
Eastern,2017,Lymphogranuloma Venereum,0,0
Central,2017,Lymphogranuloma Venereum,0,0
Nova Scotia,2017,Lymphogranuloma Venereum,0,0
Western,2017,Malaria,2,1
Northern,2017,Malaria,0,0
Eastern,2017,Malaria,0,0
Central,2017,Malaria,1,0.2
Nova Scotia,2017,Malaria,3,0.3
Western,2017,Measles,22,11.3
Northern,2017,Measles,0,0
Eastern,2017,Measles,0,0
Central,2017,Measles,7,1.5
Nova Scotia,2017,Measles,29,3
Western,2017,Meningitis - Bacterial,1,0.5
Northern,2017,Meningitis - Bacterial,0,0
Eastern,2017,Meningitis - Bacterial,0,0
Central,2017,Meningitis - Bacterial,0,0
Nova Scotia,2017,Meningitis - Bacterial,1,0.1
Western,2017,Meningitis - Viral,0,0
Northern,2017,Meningitis - Viral,0,0
Eastern,2017,Meningitis - Viral,0,0
Central,2017,Meningitis - Viral,0,0
Nova Scotia,2017,Meningitis - Viral,0,0
Western,2017,Meningococcal Disease Invasive,1,0.5
Northern,2017,Meningococcal Disease Invasive,0,0
Eastern,2017,Meningococcal Disease Invasive,1,0.6
Central,2017,Meningococcal Disease Invasive,4,0.9
Nova Scotia,2017,Meningococcal Disease Invasive,6,0.6
Western,2017,Methicillin Resistant Staphylococcus Aureus (MRSA),135,69.3
Northern,2017,Methicillin Resistant Staphylococcus Aureus (MRSA),121,81.1
Eastern,2017,Methicillin Resistant Staphylococcus Aureus (MRSA),83,52.8
Central,2017,Methicillin Resistant Staphylococcus Aureus (MRSA),183,40.4
Nova Scotia,2017,Methicillin Resistant Staphylococcus Aureus (MRSA),522,54.7
Western,2017,Mpox,0,0
Northern,2017,Mpox,0,0
Eastern,2017,Mpox,0,0
Central,2017,Mpox,0,0
Nova Scotia,2017,Mpox,0,0
Western,2017,Mumps,0,0
Northern,2017,Mumps,0,0
Eastern,2017,Mumps,0,0
Central,2017,Mumps,21,4.6
Nova Scotia,2017,Mumps,21,2.2
Western,2017,Pertussis,27,13.9
Northern,2017,Pertussis,1,0.7
Eastern,2017,Pertussis,6,3.8
Central,2017,Pertussis,11,2.4
Nova Scotia,2017,Pertussis,45,4.7
Western,2017,Plague,0,0
Northern,2017,Plague,0,0
Eastern,2017,Plague,0,0
Central,2017,Plague,0,0
Nova Scotia,2017,Plague,0,0
Western,2017,Pneumococcal Disease Invasive,11,5.6
Northern,2017,Pneumococcal Disease Invasive,9,6
Eastern,2017,Pneumococcal Disease Invasive,12,7.6
Central,2017,Pneumococcal Disease Invasive,17,3.8
Nova Scotia,2017,Pneumococcal Disease Invasive,49,5.1
Western,2017,Poliomyelitis,0,0
Northern,2017,Poliomyelitis,0,0
Eastern,2017,Poliomyelitis,0,0
Central,2017,Poliomyelitis,0,0
Nova Scotia,2017,Poliomyelitis,0,0
Western,2017,Powassan Virus Disease,0,0
Northern,2017,Powassan Virus Disease,0,0
Eastern,2017,Powassan Virus Disease,0,0
Central,2017,Powassan Virus Disease,0,0
Nova Scotia,2017,Powassan Virus Disease,0,0
Western,2017,Q-Fever,0,0
Northern,2017,Q-Fever,0,0
Eastern,2017,Q-Fever,0,0
Central,2017,Q-Fever,0,0
Nova Scotia,2017,Q-Fever,0,0
Western,2017,Rabies,0,0
Northern,2017,Rabies,0,0
Eastern,2017,Rabies,0,0
Central,2017,Rabies,0,0
Nova Scotia,2017,Rabies,0,0
Western,2017,Rubella,0,0
Northern,2017,Rubella,0,0
Eastern,2017,Rubella,0,0
Central,2017,Rubella,0,0
Nova Scotia,2017,Rubella,0,0
Western,2017,Salmonellosis,42,21.6
Northern,2017,Salmonellosis,22,14.7
Eastern,2017,Salmonellosis,31,19.7
Central,2017,Salmonellosis,76,16.8
Nova Scotia,2017,Salmonellosis,171,17.9
Western,2017,Severe Acute Respiratory Infection (SARI),0,0
Northern,2017,Severe Acute Respiratory Infection (SARI),0,0
Eastern,2017,Severe Acute Respiratory Infection (SARI),0,0
Central,2017,Severe Acute Respiratory Infection (SARI),0,0
Nova Scotia,2017,Severe Acute Respiratory Infection (SARI),0,0
Western,2017,Severe Acute Respiratory Syndrome (SARS),0,0
Northern,2017,Severe Acute Respiratory Syndrome (SARS),0,0
Eastern,2017,Severe Acute Respiratory Syndrome (SARS),0,0
Central,2017,Severe Acute Respiratory Syndrome (SARS),0,0
Nova Scotia,2017,Severe Acute Respiratory Syndrome (SARS),0,0
Western,2017,Shellfish Poisoning,0,0
Northern,2017,Shellfish Poisoning,0,0
Eastern,2017,Shellfish Poisoning,0,0
Central,2017,Shellfish Poisoning,0,0
Nova Scotia,2017,Shellfish Poisoning,0,0
Western,2017,Shigellosis,3,1.5
Northern,2017,Shigellosis,2,1.3
Eastern,2017,Shigellosis,1,0.6
Central,2017,Shigellosis,4,0.9
Nova Scotia,2017,Shigellosis,10,1
Western,2017,Smallpox,0,0
Northern,2017,Smallpox,0,0
Eastern,2017,Smallpox,0,0
Central,2017,Smallpox,0,0
Nova Scotia,2017,Smallpox,0,0
Western,2017,Syphilis - Infectious,4,2.1
Northern,2017,Syphilis - Infectious,0,0
Eastern,2017,Syphilis - Infectious,4,2.5
Central,2017,Syphilis - Infectious,18,4
Nova Scotia,2017,Syphilis - Infectious,26,2.7
Western,2017,Syphilis - Non-Infectious or Stage Pending,1,0.5
Northern,2017,Syphilis - Non-Infectious or Stage Pending,2,1.3
Eastern,2017,Syphilis - Non-Infectious or Stage Pending,3,1.9
Central,2017,Syphilis - Non-Infectious or Stage Pending,6,1.3
Nova Scotia,2017,Syphilis - Non-Infectious or Stage Pending,12,1.3
Western,2017,Tetanus,0,0
Northern,2017,Tetanus,0,0
Eastern,2017,Tetanus,0,0
Central,2017,Tetanus,0,0
Nova Scotia,2017,Tetanus,0,0
Western,2017,Toxoplasmosis,0,0
Northern,2017,Toxoplasmosis,0,0
Eastern,2017,Toxoplasmosis,0,0
Central,2017,Toxoplasmosis,0,0
Nova Scotia,2017,Toxoplasmosis,0,0
Western,2017,Tuberculosis,1,0.5
Northern,2017,Tuberculosis,0,0
Eastern,2017,Tuberculosis,2,1.3
Central,2017,Tuberculosis,5,1.1
Nova Scotia,2017,Tuberculosis,8,0.8
Western,2017,Tularemia,0,0
Northern,2017,Tularemia,0,0
Eastern,2017,Tularemia,0,0
Central,2017,Tularemia,0,0
Nova Scotia,2017,Tularemia,0,0
Western,2017,Typhoid,1,0.5
Northern,2017,Typhoid,0,0
Eastern,2017,Typhoid,1,0.6
Central,2017,Typhoid,0,0
Nova Scotia,2017,Typhoid,2,0.2
Western,2017,Vancomycin resistant Enterococcus (VRE),1,0.5
Northern,2017,Vancomycin resistant Enterococcus (VRE),37,24.8
Eastern,2017,Vancomycin resistant Enterococcus (VRE),5,3.2
Central,2017,Vancomycin resistant Enterococcus (VRE),78,17.2
Nova Scotia,2017,Vancomycin resistant Enterococcus (VRE),121,12.7
Western,2017,Verotoxigenic E. coli,1,0.5
Northern,2017,Verotoxigenic E. coli,0,0
Eastern,2017,Verotoxigenic E. coli,8,5.1
Central,2017,Verotoxigenic E. coli,12,2.7
Nova Scotia,2017,Verotoxigenic E. coli,21,2.2
Western,2017,Viral Hemorrhagic Fever,0,0
Northern,2017,Viral Hemorrhagic Fever,0,0
Eastern,2017,Viral Hemorrhagic Fever,0,0
Central,2017,Viral Hemorrhagic Fever,0,0
Nova Scotia,2017,Viral Hemorrhagic Fever,0,0
Western,2017,West Nile Virus,0,0
Northern,2017,West Nile Virus,0,0
Eastern,2017,West Nile Virus,0,0
Central,2017,West Nile Virus,0,0
Nova Scotia,2017,West Nile Virus,0,0
Western,2017,Yellow Fever,0,0
Northern,2017,Yellow Fever,0,0
Eastern,2017,Yellow Fever,0,0
Central,2017,Yellow Fever,0,0
Nova Scotia,2017,Yellow Fever,0,0
Western,2017,Yersiniosis,0,0
Northern,2017,Yersiniosis,0,0
Eastern,2017,Yersiniosis,0,0
Central,2017,Yersiniosis,0,0
Nova Scotia,2017,Yersiniosis,0,0
Western,2018,Acquired Immune Deficiency Syndrome,0,0
Northern,2018,Acquired Immune Deficiency Syndrome,0,0
Eastern,2018,Acquired Immune Deficiency Syndrome,0,0
Central,2018,Acquired Immune Deficiency Syndrome,0,0
Nova Scotia,2018,Acquired Immune Deficiency Syndrome,0,0
Western,2018,Acute Flaccid Paralysis,0,0
Northern,2018,Acute Flaccid Paralysis,0,0
Eastern,2018,Acute Flaccid Paralysis,0,0
Central,2018,Acute Flaccid Paralysis,0,0
Nova Scotia,2018,Acute Flaccid Paralysis,0,0
Western,2018,Amebiasis,0,0
Northern,2018,Amebiasis,0,0
Eastern,2018,Amebiasis,0,0
Central,2018,Amebiasis,0,0
Nova Scotia,2018,Amebiasis,0,0
Western,2018,Anaplasmosis,0,0
Northern,2018,Anaplasmosis,0,0
Eastern,2018,Anaplasmosis,0,0
Central,2018,Anaplasmosis,0,0
Nova Scotia,2018,Anaplasmosis,0,0
Western,2018,Anthrax,0,0
Northern,2018,Anthrax,0,0
Eastern,2018,Anthrax,0,0
Central,2018,Anthrax,0,0
Nova Scotia,2018,Anthrax,0,0
Western,2018,Babesiosis,0,0
Northern,2018,Babesiosis,0,0
Eastern,2018,Babesiosis,0,0
Central,2018,Babesiosis,0,0
Nova Scotia,2018,Babesiosis,0,0
Western,2018,Botulism,0,0
Northern,2018,Botulism,0,0
Eastern,2018,Botulism,0,0
Central,2018,Botulism,0,0
Nova Scotia,2018,Botulism,0,0
Western,2018,Brucellosis,0,0
Northern,2018,Brucellosis,0,0
Eastern,2018,Brucellosis,0,0
Central,2018,Brucellosis,0,0
Nova Scotia,2018,Brucellosis,0,0
Western,2018,Campylobacteriosis,77,38.9
Northern,2018,Campylobacteriosis,29,19.2
Eastern,2018,Campylobacteriosis,16,10
Central,2018,Campylobacteriosis,82,18.2
Nova Scotia,2018,Campylobacteriosis,204,21.3
Western,2018,Chlamydia,522,263.6
Northern,2018,Chlamydia,380,251.8
Eastern,2018,Chlamydia,460,286.1
Central,2018,Chlamydia,1918,426
Nova Scotia,2018,Chlamydia,3280,341.7
Western,2018,Cholera,0,0
Northern,2018,Cholera,0,0
Eastern,2018,Cholera,0,0
Central,2018,Cholera,0,0
Nova Scotia,2018,Cholera,0,0
Western,2018,Clostridium difficile,137,69.2
Northern,2018,Clostridium difficile,107,70.9
Eastern,2018,Clostridium difficile,277,172.3
Central,2018,Clostridium difficile,463,102.8
Nova Scotia,2018,Clostridium difficile,984,102.5
Western,2018,Creutzfeldt-Jakob Disease - Classic,0,0
Northern,2018,Creutzfeldt-Jakob Disease - Classic,0,0
Eastern,2018,Creutzfeldt-Jakob Disease - Classic,0,0
Central,2018,Creutzfeldt-Jakob Disease - Classic,0,0
Nova Scotia,2018,Creutzfeldt-Jakob Disease - Classic,0,0
Western,2018,Creutzfeldt-Jakob Disease - Unknown,0,0
Northern,2018,Creutzfeldt-Jakob Disease - Unknown,0,0
Eastern,2018,Creutzfeldt-Jakob Disease - Unknown,0,0
Central,2018,Creutzfeldt-Jakob Disease - Unknown,0,0
Nova Scotia,2018,Creutzfeldt-Jakob Disease - Unknown,0,0
Western,2018,Creutzfeldt-Jakob Disease - Variant,0,0
Northern,2018,Creutzfeldt-Jakob Disease - Variant,0,0
Eastern,2018,Creutzfeldt-Jakob Disease - Variant,0,0
Central,2018,Creutzfeldt-Jakob Disease - Variant,0,0
Nova Scotia,2018,Creutzfeldt-Jakob Disease - Variant,0,0
Western,2018,Cryptosporidiosis,3,1.5
Northern,2018,Cryptosporidiosis,15,9.9
Eastern,2018,Cryptosporidiosis,9,5.6
Central,2018,Cryptosporidiosis,14,3.1
Nova Scotia,2018,Cryptosporidiosis,41,4.3
Western,2018,Cyclosporiasis,0,0
Northern,2018,Cyclosporiasis,0,0
Eastern,2018,Cyclosporiasis,0,0
Central,2018,Cyclosporiasis,2,0.4
Nova Scotia,2018,Cyclosporiasis,2,0.2
Western,2018,Diphtheria,0,0
Northern,2018,Diphtheria,0,0
Eastern,2018,Diphtheria,0,0
Central,2018,Diphtheria,0,0
Nova Scotia,2018,Diphtheria,0,0
Western,2018,Ebola Virus Disease,0,0
Northern,2018,Ebola Virus Disease,0,0
Eastern,2018,Ebola Virus Disease,0,0
Central,2018,Ebola Virus Disease,0,0
Nova Scotia,2018,Ebola Virus Disease,0,0
Western,2018,Encephalitis - Viral,0,0
Northern,2018,Encephalitis - Viral,0,0
Eastern,2018,Encephalitis - Viral,0,0
Central,2018,Encephalitis - Viral,0,0
Nova Scotia,2018,Encephalitis - Viral,0,0
Western,2018,Giardiasis,21,10.6
Northern,2018,Giardiasis,13,8.6
Eastern,2018,Giardiasis,5,3.1
Central,2018,Giardiasis,37,8.2
Nova Scotia,2018,Giardiasis,76,7.9
Western,2018,Gonorrhea,27,13.6
Northern,2018,Gonorrhea,15,9.9
Eastern,2018,Gonorrhea,21,13.1
Central,2018,Gonorrhea,246,54.6
Nova Scotia,2018,Gonorrhea,309,32.2
Western,2018,Group A Streptococcal Disease Invasive,0,0
Northern,2018,Group A Streptococcal Disease Invasive,0,0
Eastern,2018,Group A Streptococcal Disease Invasive,0,0
Central,2018,Group A Streptococcal Disease Invasive,0,0
Nova Scotia,2018,Group A Streptococcal Disease Invasive,0,0
Western,2018,Group A Streptococcal Disease Invasive -> non-Severe,12,6.1
Northern,2018,Group A Streptococcal Disease Invasive -> non-Severe,7,4.7
Eastern,2018,Group A Streptococcal Disease Invasive -> non-Severe,6,3.7
Central,2018,Group A Streptococcal Disease Invasive -> non-Severe,11,2.4
Nova Scotia,2018,Group A Streptococcal Disease Invasive -> non-Severe,36,3.7
Western,2018,Group A Streptococcal Disease Invasive -> Severe,7,3.5
Northern,2018,Group A Streptococcal Disease Invasive -> Severe,2,1.3
Eastern,2018,Group A Streptococcal Disease Invasive -> Severe,3,1.9
Central,2018,Group A Streptococcal Disease Invasive -> Severe,9,2
Nova Scotia,2018,Group A Streptococcal Disease Invasive -> Severe,21,2.2
Western,2018,Group B Streptococcal Disease of the Newborn,0,0
Northern,2018,Group B Streptococcal Disease of the Newborn,2,1.3
Eastern,2018,Group B Streptococcal Disease of the Newborn,0,0
Central,2018,Group B Streptococcal Disease of the Newborn,3,0.7
Nova Scotia,2018,Group B Streptococcal Disease of the Newborn,5,0.5
Western,2018,Haemophilus influenzae Type b Invasive Disease,0,0
Northern,2018,Haemophilus influenzae Type b Invasive Disease,0,0
Eastern,2018,Haemophilus influenzae Type b Invasive Disease,0,0
Central,2018,Haemophilus influenzae Type b Invasive Disease,0,0
Nova Scotia,2018,Haemophilus influenzae Type b Invasive Disease,0,0
Western,2018,Hantavirus Pulmonary Syndrome,0,0
Northern,2018,Hantavirus Pulmonary Syndrome,0,0
Eastern,2018,Hantavirus Pulmonary Syndrome,0,0
Central,2018,Hantavirus Pulmonary Syndrome,0,0
Nova Scotia,2018,Hantavirus Pulmonary Syndrome,0,0
Western,2018,Hepatitis A,0,0
Northern,2018,Hepatitis A,0,0
Eastern,2018,Hepatitis A,0,0
Central,2018,Hepatitis A,4,0.9
Nova Scotia,2018,Hepatitis A,4,0.4
Western,2018,Hepatitis B - Acute,0,0
Northern,2018,Hepatitis B - Acute,4,2.6
Eastern,2018,Hepatitis B - Acute,0,0
Central,2018,Hepatitis B - Acute,2,0.5
Nova Scotia,2018,Hepatitis B - Acute,6,0.6
Western,2018,Hepatitis B - Chronic,1,0.5
Northern,2018,Hepatitis B - Chronic,3,2
Eastern,2018,Hepatitis B - Chronic,1,0.6
Central,2018,Hepatitis B - Chronic,16,3.5
Nova Scotia,2018,Hepatitis B - Chronic,21,2.2
Western,2018,Hepatitis B - Chronic or Unspecified,0,0
Northern,2018,Hepatitis B - Chronic or Unspecified,0,0
Eastern,2018,Hepatitis B - Chronic or Unspecified,0,0
Central,2018,Hepatitis B - Chronic or Unspecified,0,0
Nova Scotia,2018,Hepatitis B - Chronic or Unspecified,0,0
Western,2018,Hepatitis C,40,20.2
Northern,2018,Hepatitis C,95,63
Eastern,2018,Hepatitis C,89,55.4
Central,2018,Hepatitis C,121,26.9
Nova Scotia,2018,Hepatitis C,345,35.9
Western,2018,Hepatitis E,0,0
Northern,2018,Hepatitis E,0,0
Eastern,2018,Hepatitis E,0,0
Central,2018,Hepatitis E,0,0
Nova Scotia,2018,Hepatitis E,0,0
Western,2018,Human Immunodeficiency Virus,2,1
Northern,2018,Human Immunodeficiency Virus,2,1.3
Eastern,2018,Human Immunodeficiency Virus,1,0.6
Central,2018,Human Immunodeficiency Virus,26,5.8
Nova Scotia,2018,Human Immunodeficiency Virus,31,3.2
Western,2018,Influenza,0,0
Northern,2018,Influenza,0,0
Eastern,2018,Influenza,0,0
Central,2018,Influenza,0,0
Nova Scotia,2018,Influenza,0,0
Western,2018,Legionellosis,0,0
Northern,2018,Legionellosis,1,0.7
Eastern,2018,Legionellosis,0,0
Central,2018,Legionellosis,4,0.9
Nova Scotia,2018,Legionellosis,5,0.5
Western,2018,Leprosy,0,0
Northern,2018,Leprosy,0,0
Eastern,2018,Leprosy,0,0
Central,2018,Leprosy,0,0
Nova Scotia,2018,Leprosy,0,0
Western,2018,Listeriosis - Invasive,0,0
Northern,2018,Listeriosis - Invasive,0,0
Eastern,2018,Listeriosis - Invasive,0,0
Central,2018,Listeriosis - Invasive,3,0.7
Nova Scotia,2018,Listeriosis - Invasive,3,0.3
Western,2018,Lyme Disease - Confirmed,173,114.5
Northern,2018,Lyme Disease - Confirmed,20,13.3
Eastern,2018,Lyme Disease - Confirmed,2,1.3
Central,2018,Lyme Disease - Confirmed,49,10.9
Nova Scotia,2018,Lyme Disease - Confirmed,244,25.4
Western,2018,Lyme Disease - Probable,186,127.3
Northern,2018,Lyme Disease - Probable,5,3.3
Eastern,2018,Lyme Disease - Probable,1,0.6
Central,2018,Lyme Disease - Probable,15,3.3
Nova Scotia,2018,Lyme Disease - Probable,207,21.6
Western,2018,Lymphogranuloma Venereum,0,0
Northern,2018,Lymphogranuloma Venereum,0,0
Eastern,2018,Lymphogranuloma Venereum,0,0
Central,2018,Lymphogranuloma Venereum,0,0
Nova Scotia,2018,Lymphogranuloma Venereum,0,0
Western,2018,Malaria,1,0.5
Northern,2018,Malaria,1,0.7
Eastern,2018,Malaria,1,0.6
Central,2018,Malaria,3,0.7
Nova Scotia,2018,Malaria,6,0.6
Western,2018,Measles,0,0
Northern,2018,Measles,0,0
Eastern,2018,Measles,0,0
Central,2018,Measles,0,0
Nova Scotia,2018,Measles,0,0
Western,2018,Meningitis - Bacterial,0,0
Northern,2018,Meningitis - Bacterial,0,0
Eastern,2018,Meningitis - Bacterial,0,0
Central,2018,Meningitis - Bacterial,0,0
Nova Scotia,2018,Meningitis - Bacterial,0,0
Western,2018,Meningitis - Viral,0,0
Northern,2018,Meningitis - Viral,0,0
Eastern,2018,Meningitis - Viral,0,0
Central,2018,Meningitis - Viral,0,0
Nova Scotia,2018,Meningitis - Viral,0,0
Western,2018,Meningococcal Disease Invasive,0,0
Northern,2018,Meningococcal Disease Invasive,1,0.7
Eastern,2018,Meningococcal Disease Invasive,2,1.2
