Zone,Year,Disease,Number of Cases,"Rate per 100,000 population"
Northern,2014,Yersiniosis,1,0.6
Eastern,2014,Yersiniosis,0,0
Central,2014,Yersiniosis,1,0.2
Nova Scotia,2014,Yersiniosis,2,0.2
Western,2015,Acquired Immune Deficiency Syndrome,0,0
Northern,2015,Acquired Immune Deficiency Syndrome,0,0
Eastern,2015,Acquired Immune Deficiency Syndrome,0,0
Central,2015,Acquired Immune Deficiency Syndrome,3,0.7
Nova Scotia,2015,Acquired Immune Deficiency Syndrome,3,0.3
Western,2015,Acute Flaccid Paralysis,0,0
Northern,2015,Acute Flaccid Paralysis,0,0
Eastern,2015,Acute Flaccid Paralysis,0,0
Central,2015,Acute Flaccid Paralysis,0,0
Nova Scotia,2015,Acute Flaccid Paralysis,0,0
Western,2015,Amebiasis,0,0
Northern,2015,Amebiasis,0,0
Eastern,2015,Amebiasis,0,0
Central,2015,Amebiasis,0,0
Nova Scotia,2015,Amebiasis,0,0
Western,2015,Anaplasmosis,0,0
Northern,2015,Anaplasmosis,0,0
Eastern,2015,Anaplasmosis,0,0
Central,2015,Anaplasmosis,0,0
Nova Scotia,2015,Anaplasmosis,0,0
Western,2015,Anthrax,0,0
Northern,2015,Anthrax,0,0
Eastern,2015,Anthrax,0,0
Central,2015,Anthrax,0,0
Nova Scotia,2015,Anthrax,0,0
Western,2015,Babesiosis,0,0
Northern,2015,Babesiosis,0,0
Eastern,2015,Babesiosis,0,0
Central,2015,Babesiosis,0,0
Nova Scotia,2015,Babesiosis,0,0
Western,2015,Botulism,0,0
Northern,2015,Botulism,0,0
Eastern,2015,Botulism,0,0
Central,2015,Botulism,0,0
Nova Scotia,2015,Botulism,0,0
Western,2015,Brucellosis,0,0
Northern,2015,Brucellosis,0,0
Eastern,2015,Brucellosis,0,0
Central,2015,Brucellosis,0,0
Nova Scotia,2015,Brucellosis,0,0
Western,2015,Campylobacteriosis,56,28.6
Northern,2015,Campylobacteriosis,19,12.7
Eastern,2015,Campylobacteriosis,6,3.8
Central,2015,Campylobacteriosis,74,16.9
Nova Scotia,2015,Campylobacteriosis,155,16.4
Western,2015,Chlamydia,438,223.8
Northern,2015,Chlamydia,310,207.8
Eastern,2015,Chlamydia,387,243.2
Central,2015,Chlamydia,1725,392.7
Nova Scotia,2015,Chlamydia,2860,303.3
Western,2015,Cholera,0,0
Northern,2015,Cholera,0,0
Eastern,2015,Cholera,0,0
Central,2015,Cholera,0,0
Nova Scotia,2015,Cholera,0,0
Western,2015,Clostridium difficile,188,96.1
Northern,2015,Clostridium difficile,105,70.4
Eastern,2015,Clostridium difficile,175,110
Central,2015,Clostridium difficile,344,78.4
Nova Scotia,2015,Clostridium difficile,812,86.1
Western,2015,Creutzfeldt-Jakob Disease - Classic,0,0
Northern,2015,Creutzfeldt-Jakob Disease - Classic,0,0
Eastern,2015,Creutzfeldt-Jakob Disease - Classic,0,0
Central,2015,Creutzfeldt-Jakob Disease - Classic,0,0
Nova Scotia,2015,Creutzfeldt-Jakob Disease - Classic,0,0
Western,2015,Creutzfeldt-Jakob Disease - Unknown,0,0
Northern,2015,Creutzfeldt-Jakob Disease - Unknown,0,0
Eastern,2015,Creutzfeldt-Jakob Disease - Unknown,0,0
Central,2015,Creutzfeldt-Jakob Disease - Unknown,0,0
Nova Scotia,2015,Creutzfeldt-Jakob Disease - Unknown,0,0
Western,2015,Creutzfeldt-Jakob Disease - Variant,0,0
Northern,2015,Creutzfeldt-Jakob Disease - Variant,0,0
Eastern,2015,Creutzfeldt-Jakob Disease - Variant,0,0
Central,2015,Creutzfeldt-Jakob Disease - Variant,0,0
Nova Scotia,2015,Creutzfeldt-Jakob Disease - Variant,0,0
Western,2015,Cryptosporidiosis,2,1
Northern,2015,Cryptosporidiosis,2,1.3
Eastern,2015,Cryptosporidiosis,3,1.9
Central,2015,Cryptosporidiosis,10,2.3
Nova Scotia,2015,Cryptosporidiosis,17,1.8
Western,2015,Cyclosporiasis,1,0.5
Northern,2015,Cyclosporiasis,0,0
Eastern,2015,Cyclosporiasis,0,0
Central,2015,Cyclosporiasis,2,0.5
Nova Scotia,2015,Cyclosporiasis,3,0.3
Western,2015,Diphtheria,0,0
Northern,2015,Diphtheria,0,0
Eastern,2015,Diphtheria,0,0
Central,2015,Diphtheria,0,0
Nova Scotia,2015,Diphtheria,0,0
Western,2015,Ebola Virus Disease,0,0
Northern,2015,Ebola Virus Disease,0,0
Eastern,2015,Ebola Virus Disease,0,0
Central,2015,Ebola Virus Disease,0,0
Nova Scotia,2015,Ebola Virus Disease,0,0
Western,2015,Encephalitis - Viral,0,0
Northern,2015,Encephalitis - Viral,0,0
Eastern,2015,Encephalitis - Viral,0,0
Central,2015,Encephalitis - Viral,0,0
Nova Scotia,2015,Encephalitis - Viral,0,0
Western,2015,Giardiasis,23,11.8
Northern,2015,Giardiasis,12,8
Eastern,2015,Giardiasis,9,5.7
Central,2015,Giardiasis,43,9.8
Nova Scotia,2015,Giardiasis,87,9.2
Western,2015,Gonorrhea,15,7.7
Northern,2015,Gonorrhea,11,7.4
Eastern,2015,Gonorrhea,6,3.8
Central,2015,Gonorrhea,101,23
Nova Scotia,2015,Gonorrhea,133,14.1
Western,2015,Group A Streptococcal Disease Invasive,0,0
Northern,2015,Group A Streptococcal Disease Invasive,0,0
Eastern,2015,Group A Streptococcal Disease Invasive,0,0
Central,2015,Group A Streptococcal Disease Invasive,0,0
Nova Scotia,2015,Group A Streptococcal Disease Invasive,0,0
Western,2015,Group A Streptococcal Disease Invasive -> non-Severe,2,1
Northern,2015,Group A Streptococcal Disease Invasive -> non-Severe,0,0
Eastern,2015,Group A Streptococcal Disease Invasive -> non-Severe,1,0.6
Central,2015,Group A Streptococcal Disease Invasive -> non-Severe,12,2.7
Nova Scotia,2015,Group A Streptococcal Disease Invasive -> non-Severe,15,1.6
Western,2015,Group A Streptococcal Disease Invasive -> Severe,1,0.5
