Table 1 30-Day Readmission for Mental Health and Substance Use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indicator,Reporting level,Place or organization,Hospital Peer Group,Corporation,Region,Province/Territory,Urban or rural/remote,Trend note,Time Scale,Time frame,Level 1 breakdown,Level 1 breakdown value,Risk-adjusted rate,Risk-adjusted rate: Confidence interval lower limit,Risk-adjusted rate: Confidence interval upper limit,Risk-adjusted rate: Statistically different,Risk-adjusted rate: Performance comparison,Risk-adjusted rate: Performance trend,Risk-adjusted rate: Top results,Risk-adjusted rate: Relative standing scatter plot confidence intervals,Numerator,Denominator,Crude rate,Disparity rate ratio,Disparity rate ratio: Confidence interval lower limit,Disparity rate ratio: Confidence interval upper limit,Disparity rate ratio: Statistically different,Potential rate reduction,Potential rate reduction: Confidence interval lower limit,Potential rate reduction: Confidence interval upper limit,Potential rate reduction: Statistically different,Expected
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2019–2020,Neighbourhood income quintile,Q1 (lowest income),10.3,9.18,11.61,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2019–2020,Neighbourhood income quintile,Q2,9.3,7.79,10.96,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2019–2020,Urban versus rural/remote,Rural/remote,10.9,9.76,12.24,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2019–2020,Neighbourhood income quintile,Q3,10.7,8.93,12.67,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2019–2020,Neighbourhood income quintile,Q4,11.7,9.71,13.94,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2019–2020,Neighbourhood income quintile,Q5 (highest income),11.2,9.29,13.45,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2020–2021,Not applicable,Not applicable,12.4,11.66,13.28,Yes,–,–,–,–,–,–,–,1.0,0.79,1.26,No,5.0,-14.31,21.42,No,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2020–2021,Age group,0 to 14,–,–,–,–,–,–,–,–,–,–,7.0,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2020–2021,Age group,15 to 24,–,–,–,–,–,–,–,–,–,–,12.2,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2020–2021,Age group,25 to 44,–,–,–,–,–,–,–,–,–,–,14.3,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2020–2021,Age group,45 to 64,–,–,–,–,–,–,–,–,–,–,12.0,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2020–2021,Age group,65+,–,–,–,–,–,–,–,–,–,–,9.3,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2020–2021,Recorded sex or gender,Female,–,–,–,–,–,–,–,–,–,–,12.0,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2020–2021,Recorded sex or gender,Male,–,–,–,–,–,–,–,–,–,–,12.7,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2020–2021,Neighbourhood income quintile,Q1 (lowest income),11.8,10.49,13.16,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2020–2021,Urban versus rural/remote,Urban,11.6,10.67,12.70,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2020–2021,Urban versus rural/remote,Rural/remote,13.5,12.17,14.89,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2020–2021,Neighbourhood income quintile,Q2,12.5,10.82,14.46,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2020–2021,Neighbourhood income quintile,Q3,13.4,11.48,15.57,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2020–2021,Neighbourhood income quintile,Q4,12.9,10.89,15.29,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2020–2021,Neighbourhood income quintile,Q5 (highest income),11.8,9.67,14.23,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2021–2022,Not applicable,Not applicable,11.1,10.41,11.90,Yes,–,–,–,–,–,–,–,1.0,0.82,1.31,No,0.5,-19.97,17.98,No,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2021–2022,Age group,0 to 14,–,–,–,–,–,–,–,–,–,–,4.2,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2021–2022,Age group,15 to 24,–,–,–,–,–,–,–,–,–,–,13.6,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2021–2022,Age group,25 to 44,–,–,–,–,–,–,–,–,–,–,11.8,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2021–2022,Age group,45 to 64,–,–,–,–,–,–,–,–,–,–,10.5,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2021–2022,Age group,65+,–,–,–,–,–,–,–,–,–,–,9.1,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2021–2022,Recorded sex or gender,Female,–,–,–,–,–,–,–,–,–,–,10.7,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2021–2022,Recorded sex or gender,Male,–,–,–,–,–,–,–,–,–,–,11.6,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2021–2022,Urban versus rural/remote,Urban,11.4,10.43,12.34,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2021–2022,Neighbourhood income quintile,Q1 (lowest income),11.5,10.31,12.82,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2021–2022,Urban versus rural/remote,Rural/remote,11.0,9.77,12.26,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2021–2022,Neighbourhood income quintile,Q2,11.8,10.18,13.66,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2021–2022,Neighbourhood income quintile,Q3,11.5,9.74,13.45,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2021–2022,Neighbourhood income quintile,Q4,9.2,7.40,11.30,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2021–2022,Neighbourhood income quintile,Q5 (highest income),11.1,9.15,13.47,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2022–2023,Not applicable,Not applicable,11.5,10.74,12.29,Yes,–,–,–,–,–,–,–,1.0,0.77,1.22,No,-2.0,-21.96,15.11,No,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2022–2023,Age group,0 to 14,–,–,–,–,–,–,–,–,–,–,6.6,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2022–2023,Age group,15 to 24,–,–,–,–,–,–,–,–,–,–,11.9,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2022–2023,Age group,25 to 44,–,–,–,–,–,–,–,–,–,–,12.2,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2022–2023,Age group,45 to 64,–,–,–,–,–,–,–,–,–,–,11.7,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2022–2023,Age group,65+,–,–,–,–,–,–,–,–,–,–,8.6,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2022–2023,Recorded sex or gender,Female,–,–,–,–,–,–,–,–,–,–,10.7,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2022–2023,Recorded sex or gender,Male,–,–,–,–,–,–,–,–,–,–,12.2,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2022–2023,Neighbourhood income quintile,Q1 (lowest income),11.0,9.74,12.35,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2022–2023,Urban versus rural/remote,Urban,11.0,10.05,11.98,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2022–2023,Neighbourhood income quintile,Q2,9.9,8.34,11.66,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2022–2023,Urban versus rural/remote,Rural/remote,11.4,10.10,12.77,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2022–2023,Neighbourhood income quintile,Q3,11.0,9.25,12.96,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2022–2023,Neighbourhood income quintile,Q4,13.2,11.07,15.76,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2022–2023,Neighbourhood income quintile,Q5 (highest income),11.3,9.36,13.63,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2023–2024,Not applicable,Not applicable,11.3,10.49,12.09,Yes,–,–,–,–,–,–,–,0.9,0.69,1.11,No,-6.0,-26.74,11.77,No,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2023–2024,Age group,0 to 14,–,–,–,–,–,–,–,–,–,–,3.0,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2023–2024,Age group,15 to 24,–,–,–,–,–,–,–,–,–,–,11.6,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2023–2024,Age group,25 to 44,–,–,–,–,–,–,–,–,–,–,13.0,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2023–2024,Age group,45 to 64,–,–,–,–,–,–,–,–,–,–,9.9,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2023–2024,Age group,65+,–,–,–,–,–,–,–,–,–,–,8.4,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2023–2024,Recorded sex or gender,Female,–,–,–,–,–,–,–,–,–,–,9.7,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2023–2024,Recorded sex or gender,Male,–,–,–,–,–,–,–,–,–,–,12.7,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2023–2024,Neighbourhood income quintile,Q1 (lowest income),10.3,9.06,11.69,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2023–2024,Urban versus rural/remote,Urban,11.0,10.07,12.07,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2023–2024,Neighbourhood income quintile,Q2,12.1,10.33,14.03,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2023–2024,Urban versus rural/remote,Rural/remote,11.3,10.02,12.81,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2023–2024,Neighbourhood income quintile,Q3,11.7,9.87,13.92,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2023–2024,Neighbourhood income quintile,Q4,10.5,8.49,12.93,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2023–2024,Neighbourhood income quintile,Q5 (highest income),11.8,9.72,14.28,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2024–2025,Not applicable,Not applicable,10.6,9.83,11.45,Yes,Above average performance,No change,–,–,–,–,–,1.0,0.78,1.37,No,6.0,-17.97,25.56,No,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2024–2025,Age group,0 to 14,–,–,–,–,–,–,–,–,–,–,7.0,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2024–2025,Age group,15 to 24,–,–,–,–,–,–,–,–,–,–,11.2,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2024–2025,Age group,25 to 44,–,–,–,–,–,–,–,–,–,–,11.9,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2024–2025,Age group,45 to 64,–,–,–,–,–,–,–,–,–,–,8.3,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2024–2025,Age group,65+,–,–,–,–,–,–,–,–,–,–,5.0,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2024–2025,Recorded sex or gender,Female,–,–,–,–,–,–,–,–,–,–,9.2,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2024–2025,Recorded sex or gender,Male,–,–,–,–,–,–,–,–,–,–,11.5,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2024–2025,Urban versus rural/remote,Urban,11.2,10.17,12.26,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2024–2025,Neighbourhood income quintile,Q1 (lowest income),10.4,9.07,11.80,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2024–2025,Urban versus rural/remote,Rural/remote,9.7,8.43,11.07,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2024–2025,Neighbourhood income quintile,Q2,9.7,8.11,11.52,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2024–2025,Neighbourhood income quintile,Q3,11.6,9.69,13.81,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2024–2025,Neighbourhood income quintile,Q4,12.3,10.05,14.88,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Saskatchewan,–,–,–,Saskatchewan,–,–,Fiscal year,2024–2025,Neighbourhood income quintile,Q5 (highest income),10.0,7.95,12.52,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2015–2016,Not applicable,Not applicable,9.9,9.45,10.32,Yes,–,–,–,–,–,–,–,1.0,0.89,1.22,No,1.0,-12.35,13.02,No,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2015–2016,Age group,0 to 14,–,–,–,–,–,–,–,–,–,–,2.2,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2015–2016,Age group,15 to 24,–,–,–,–,–,–,–,–,–,–,9.5,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2015–2016,Age group,25 to 44,–,–,–,–,–,–,–,–,–,–,11.8,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2015–2016,Age group,45 to 64,–,–,–,–,–,–,–,–,–,–,9.1,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2015–2016,Age group,65+,–,–,–,–,–,–,–,–,–,–,4.6,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2015–2016,Recorded sex or gender,Female,–,–,–,–,–,–,–,–,–,–,9.3,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2015–2016,Recorded sex or gender,Male,–,–,–,–,–,–,–,–,–,–,9.6,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2015–2016,Urban versus rural/remote,Urban,9.5,8.98,10.00,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2015–2016,Neighbourhood income quintile,Q1 (lowest income),10.1,9.35,10.87,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2015–2016,Neighbourhood income quintile,Q2,9.9,8.93,10.93,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2015–2016,Urban versus rural/remote,Rural/remote,10.8,9.87,11.72,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2015–2016,Neighbourhood income quintile,Q3,9.1,8.09,10.17,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2015–2016,Neighbourhood income quintile,Q4,10.0,8.83,11.22,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2015–2016,Neighbourhood income quintile,Q5 (highest income),9.7,8.52,11.02,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2016–2017,Not applicable,Not applicable,10.2,9.76,10.64,Yes,–,–,–,–,–,–,–,0.9,0.78,1.05,No,-10.4,-23.83,1.76,No,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2016–2017,Age group,0 to 14,–,–,–,–,–,–,–,–,–,–,4.5,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2016–2017,Age group,15 to 24,–,–,–,–,–,–,–,–,–,–,9.6,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2016–2017,Age group,25 to 44,–,–,–,–,–,–,–,–,–,–,11.4,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2016–2017,Age group,45 to 64,–,–,–,–,–,–,–,–,–,–,10.1,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2016–2017,Age group,65+,–,–,–,–,–,–,–,–,–,–,5.6,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2016–2017,Recorded sex or gender,Female,–,–,–,–,–,–,–,–,–,–,9.5,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2016–2017,Recorded sex or gender,Male,–,–,–,–,–,–,–,–,–,–,10.2,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2016–2017,Neighbourhood income quintile,Q1 (lowest income),10.0,9.25,10.76,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2016–2017,Urban versus rural/remote,Urban,9.9,9.37,10.41,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2016–2017,Urban versus rural/remote,Rural/remote,10.4,9.47,11.30,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2016–2017,Neighbourhood income quintile,Q2,9.3,8.41,10.30,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Alberta,–,–,–,Alberta,–,–,Fiscal year,2016–2017,Neighbourhood income quintile,Q3,10.1,8.99,11.23,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
