Table 1 30-Day Readmission for Mental Health and Substance Use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indicator,Reporting level,Place or organization,Hospital Peer Group,Corporation,Region,Province/Territory,Urban or rural/remote,Trend note,Time Scale,Time frame,Level 1 breakdown,Level 1 breakdown value,Risk-adjusted rate,Risk-adjusted rate: Confidence interval lower limit,Risk-adjusted rate: Confidence interval upper limit,Risk-adjusted rate: Statistically different,Risk-adjusted rate: Performance comparison,Risk-adjusted rate: Performance trend,Risk-adjusted rate: Top results,Risk-adjusted rate: Relative standing scatter plot confidence intervals,Numerator,Denominator,Crude rate,Disparity rate ratio,Disparity rate ratio: Confidence interval lower limit,Disparity rate ratio: Confidence interval upper limit,Disparity rate ratio: Statistically different,Potential rate reduction,Potential rate reduction: Confidence interval lower limit,Potential rate reduction: Confidence interval upper limit,Potential rate reduction: Statistically different,Expected
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2020–2021,Age group,15 to 24,–,–,–,–,–,–,–,–,–,–,14.1,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2020–2021,Age group,25 to 44,–,–,–,–,–,–,–,–,–,–,15.9,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2020–2021,Age group,45 to 64,–,–,–,–,–,–,–,–,–,–,12.9,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2020–2021,Age group,65+,–,–,–,–,–,–,–,–,–,–,9.4,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2020–2021,Recorded sex or gender,Female,–,–,–,–,–,–,–,–,–,–,13.6,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2020–2021,Recorded sex or gender,Male,–,–,–,–,–,–,–,–,–,–,14.0,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2020–2021,Neighbourhood income quintile,Q1 (lowest income),14.2,13.94,14.49,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2020–2021,Urban versus rural/remote,Urban,13.9,13.77,14.13,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2020–2021,Neighbourhood income quintile,Q2,14.2,13.89,14.60,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,National,Canada,–,–,–,N/A,–,–,Fiscal year,2020–2021,Urban versus rural/remote,Rural/remote,13.2,12.86,13.62,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
