Place or organization,Province/territory,Region,Reporting level,Indicator,Time scale,Time frame,Age-standardized rate,Unit of measure,Confidence interval lower limit,Confidence interval upper limit,Numerator,Denominator,Crude rate,Rate ratio (income),Potential rate reduction (income),Percent,Refresh date
Northwestern Health Unit (Ont.),Ontario,Northwestern Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2024–2025,620,"Per 100,000",569,675,-,-,-,-,-,-,"October 15, 2025"
Thunder Bay District Health Unit (Ont.),Ontario,Thunder Bay District Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2024–2025,620,"Per 100,000",584,658,-,-,-,-,-,-,"October 15, 2025"
Abitibi-Témiscamingue Region (Que.),Quebec,Abitibi-Témiscamingue Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2015–2016,605,"Per 100,000",572,641,-,-,-,-,-,-,"October 15, 2025"
Eastern Zone (N.S.),Nova Scotia,Eastern Zone (N.S.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2016–2017,605,"Per 100,000",572,640,-,-,-,-,-,-,"October 15, 2025"
Saskatchewan,Saskatchewan,-,Province/territory,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2016–2017,564,"Per 100,000",551,577,-,-,-,3.0,35.8,-,"October 15, 2025"
Eastern Zone (N.S.),Nova Scotia,Eastern Zone (N.S.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2018–2019,564,"Per 100,000",532,600,-,-,-,-,-,-,"October 15, 2025"
North Central East Zone (Sask.),Saskatchewan,North Central East Zone (Sask.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2018–2019,564,"Per 100,000",525,605,-,-,-,-,-,-,"October 15, 2025"
Northern Health (B.C.),British Columbia,Northern Health (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,564,"Per 100,000",539,589,-,-,-,-,-,-,"October 15, 2025"
Northwestern Health Unit (Ont.),Ontario,Northwestern Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2018–2019,564,"Per 100,000",517,615,-,-,-,-,-,-,"October 15, 2025"
Eastern Zone (N.S.),Nova Scotia,Eastern Zone (N.S.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2019–2020,514,"Per 100,000",483,547,-,-,-,-,-,-,"October 15, 2025"
Chatham-Kent Public Health (Ont.),Ontario,Chatham-Kent Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2018–2019,443,"Per 100,000",407,482,-,-,-,-,-,-,"October 15, 2025"
Côte-Nord Region (Que.),Quebec,Côte-Nord Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2022–2023,443,"Per 100,000",405,485,-,-,-,-,-,-,"October 15, 2025"
Eastern Zone (N.S.),Nova Scotia,Eastern Zone (N.S.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2021–2022,443,"Per 100,000",414,475,-,-,-,-,-,-,"October 15, 2025"
Chatham-Kent Public Health (Ont.),Ontario,Chatham-Kent Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2019–2020,508,"Per 100,000",470,551,-,-,-,-,-,-,"October 15, 2025"
Eastern Zone (N.S.),Nova Scotia,Eastern Zone (N.S.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2022–2023,508,"Per 100,000",476,542,-,-,-,-,-,-,"October 15, 2025"
Eastern Zone (N.S.),Nova Scotia,Eastern Zone (N.S.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2023–2024,446,"Per 100,000",417,478,-,-,-,-,-,-,"October 15, 2025"
Sudbury and District Health Unit (Ont.),Ontario,Sudbury and District Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2019–2020,446,"Per 100,000",421,473,-,-,-,-,-,-,"October 15, 2025"
Northern Zone (N.S.),Nova Scotia,Northern Zone (N.S.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,471,"Per 100,000",442,503,-,-,-,-,-,-,"October 15, 2025"
Southwestern Public Health (Ont.),Ontario,Southwestern Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2024–2025,471,"Per 100,000",446,497,-,-,-,-,-,-,"October 15, 2025"
Northern Interior HSDA (B.C.),British Columbia,Northern Interior HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2021–2022,480,"Per 100,000",448,514,-,-,-,-,-,-,"October 15, 2025"
Northern Zone (N.S.),Nova Scotia,Northern Zone (N.S.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2016–2017,480,"Per 100,000",450,513,-,-,-,-,-,-,"October 15, 2025"
Northern Zone (N.S.),Nova Scotia,Northern Zone (N.S.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2024–2025,480,"Per 100,000",450,513,-,"142,785",-,-,-,-,"October 15, 2025"
East Kootenay HSDA (B.C.),British Columbia,East Kootenay HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,447,"Per 100,000",408,490,-,-,-,-,-,-,"October 15, 2025"
Hastings Prince Edward Public Health (Ont.),Ontario,Hastings Prince Edward Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,447,"Per 100,000",419,477,-,-,-,-,-,-,"October 15, 2025"
Hastings Prince Edward Public Health (Ont.),Ontario,Hastings Prince Edward Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,447,"Per 100,000",418,478,-,-,-,-,-,-,"October 15, 2025"
Northern Zone (N.S.),Nova Scotia,Northern Zone (N.S.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,447,"Per 100,000",417,481,-,-,-,-,-,-,"October 15, 2025"
Canada,-,-,National,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,375,"Per 100,000",373,377,"111,215","32,717,423",-,-,-,-,"October 15, 2025"
Manitoba,Manitoba,-,Province/territory,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,375,"Per 100,000",366,385,-,-,-,-,-,-,"October 15, 2025"
"Haliburton, Kawartha, Pine Ridge District Health Unit (Ont.)",Ontario,"Haliburton, Kawartha, Pine Ridge District Health Unit (Ont.)",Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2018–2019,375,"Per 100,000",350,402,-,-,-,-,-,-,"October 15, 2025"
Middlesex–London Health Unit (Ont.),Ontario,Middlesex–London Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2016–2017,375,"Per 100,000",359,392,-,-,-,-,-,-,"October 15, 2025"
Northern Zone (N.S.),Nova Scotia,Northern Zone (N.S.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2020–2021,375,"Per 100,000",348,404,-,-,-,-,-,-,"October 15, 2025"
Nova Scotia,Nova Scotia,-,Province/territory,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2016–2017,394,"Per 100,000",383,406,-,-,-,2.0,24.1,-,"October 15, 2025"
Bas-Saint-Laurent Region (Que.),Quebec,Bas-Saint-Laurent Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2016–2017,394,"Per 100,000",372,418,-,-,-,-,-,-,"October 15, 2025"
Grey Bruce Health Unit (Ont.),Ontario,Grey Bruce Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,394,"Per 100,000",368,423,-,-,-,-,-,-,"October 15, 2025"
Northern Zone (N.S.),Nova Scotia,Northern Zone (N.S.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2021–2022,394,"Per 100,000",367,423,-,-,-,-,-,-,"October 15, 2025"
Okanagan HSDA (B.C.),British Columbia,Okanagan HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,394,"Per 100,000",375,414,-,-,-,-,-,-,"October 15, 2025"
Prairie Mountain Health Region (Man.),Manitoba,Prairie Mountain Health Region (Man.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2023–2024,394,"Per 100,000",368,423,-,-,-,-,-,-,"October 15, 2025"
Thompson/Cariboo HSDA (B.C.),British Columbia,Thompson/Cariboo HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2015–2016,394,"Per 100,000",371,418,-,-,-,-,-,-,"October 15, 2025"
West Region (Ont.),Ontario,West Region (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2024–2025,394,"Per 100,000",388,399,-,"4,150,078",-,-,-,-,"October 15, 2025"
Fraser East HSDA (B.C.),British Columbia,Fraser East HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,410,"Per 100,000",389,431,-,-,-,-,-,-,"October 15, 2025"
Northern Zone (N.S.),Nova Scotia,Northern Zone (N.S.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2023–2024,410,"Per 100,000",383,440,-,-,-,-,-,-,"October 15, 2025"
Southwestern Public Health (Ont.),Ontario,Southwestern Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2023–2024,410,"Per 100,000",386,435,-,-,-,-,-,-,"October 15, 2025"
Nova Scotia,Nova Scotia,-,Province/territory,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,388,"Per 100,000",377,400,-,-,-,-,-,-,"October 15, 2025"
Bas-Saint-Laurent Region (Que.),Quebec,Bas-Saint-Laurent Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,388,"Per 100,000",366,412,-,-,-,-,-,-,"October 15, 2025"
Mauricie et Centre-du-Québec Region (Que.),Quebec,Mauricie et Centre-du-Québec Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,388,"Per 100,000",374,403,-,-,-,-,-,-,"October 15, 2025"
Nova Scotia,Nova Scotia,-,Province/territory,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,403,"Per 100,000",392,415,-,-,-,-,-,-,"October 15, 2025"
Alberta,Alberta,-,Province/territory,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2016–2017,403,"Per 100,000",397,408,-,-,-,3.0,41.0,-,"October 15, 2025"
Niagara Region Public Health (Ont.),Ontario,Niagara Region Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,403,"Per 100,000",386,420,-,-,-,-,-,-,"October 15, 2025"
South Zone (Alta.),Alberta,South Zone (Alta.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2019–2020,403,"Per 100,000",382,424,-,-,-,-,-,-,"October 15, 2025"
Wellington–Dufferin–Guelph Public Health (Ont.),Ontario,Wellington–Dufferin–Guelph Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,403,"Per 100,000",383,424,-,-,-,-,-,-,"October 15, 2025"
Nova Scotia,Nova Scotia,-,Province/territory,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2015–2016,396,"Per 100,000",385,408,-,-,-,-,-,-,"October 15, 2025"
Wellington–Dufferin–Guelph Public Health (Ont.),Ontario,Wellington–Dufferin–Guelph Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2018–2019,396,"Per 100,000",376,417,-,-,-,-,-,-,"October 15, 2025"
Zone 5 (Campbellton Area) (N.B.),New Brunswick,Zone 5 (Campbellton Area) (N.B.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2023–2024,396,"Per 100,000",332,476,-,-,-,-,-,-,"October 15, 2025"
Nova Scotia,Nova Scotia,-,Province/territory,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,379,"Per 100,000",368,390,-,-,-,2.1,29.2,-,"October 15, 2025"
Fraser East HSDA (B.C.),British Columbia,Fraser East HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2019–2020,379,"Per 100,000",360,400,-,-,-,-,-,-,"October 15, 2025"
Prairie Mountain Health Region (Man.),Manitoba,Prairie Mountain Health Region (Man.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2021–2022,379,"Per 100,000",353,408,-,-,-,-,-,-,"October 15, 2025"
Wellington–Dufferin–Guelph Public Health (Ont.),Ontario,Wellington–Dufferin–Guelph Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2015–2016,379,"Per 100,000",359,401,-,-,-,-,-,-,"October 15, 2025"
Nova Scotia,Nova Scotia,-,Province/territory,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2018–2019,381,"Per 100,000",370,393,-,-,-,2.1,27.5,-,"October 15, 2025"
Renfrew County and District Health Unit (Ont.),Ontario,Renfrew County and District Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,381,"Per 100,000",351,415,-,-,-,-,-,-,"October 15, 2025"
Nova Scotia,Nova Scotia,-,Province/territory,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2019–2020,355,"Per 100,000",344,366,-,-,-,2.3,30.2,-,"October 15, 2025"
Ontario,Ontario,-,Province/territory,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,355,"Per 100,000",352,358,-,-,-,2.9,41.5,-,"October 15, 2025"
Saskatchewan,Saskatchewan,-,Province/territory,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2020–2021,355,"Per 100,000",345,365,-,-,-,3.2,39.2,-,"October 15, 2025"
Central Vancouver Island HSDA (B.C.),British Columbia,Central Vancouver Island HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,355,"Per 100,000",335,376,-,-,-,-,-,-,"October 15, 2025"
East Region (Ont.),Ontario,East Region (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2018–2019,355,"Per 100,000",348,361,-,-,-,-,-,-,"October 15, 2025"
East Region (Ont.),Ontario,East Region (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2019–2020,355,"Per 100,000",349,361,-,-,-,-,-,-,"October 15, 2025"
Laurentides Region (Que.),Quebec,Laurentides Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2016–2017,355,"Per 100,000",343,368,-,-,-,-,-,-,"October 15, 2025"
Nova Scotia,Nova Scotia,-,Province/territory,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2020–2021,286,"Per 100,000",277,296,-,-,-,2.0,22.1,-,"October 15, 2025"
Capitale-Nationale Region (Que.),Quebec,Capitale-Nationale Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,286,"Per 100,000",276,296,-,-,-,-,-,-,"October 15, 2025"
Chaudière-Appalaches Region (Que.),Quebec,Chaudière-Appalaches Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2015–2016,286,"Per 100,000",273,300,-,-,-,-,-,-,"October 15, 2025"
Laval Region (Que.),Quebec,Laval Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,286,"Per 100,000",272,301,-,-,-,-,-,-,"October 15, 2025"
Nova Scotia,Nova Scotia,-,Province/territory,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2021–2022,299,"Per 100,000",289,309,-,-,-,2.2,30.5,-,"October 15, 2025"
Toronto Public Health (Ont.),Ontario,Toronto Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,299,"Per 100,000",293,305,-,-,-,-,-,-,"October 15, 2025"
Toronto Region (Ont.),Ontario,Toronto Region (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,299,"Per 100,000",293,305,-,-,-,-,-,-,"October 15, 2025"
Nova Scotia,Nova Scotia,-,Province/territory,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2022–2023,347,"Per 100,000",337,358,-,-,-,2.4,34.0,-,"October 15, 2025"
Central Zone (Alta.),Alberta,Central Zone (Alta.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2021–2022,347,"Per 100,000",332,363,-,-,-,-,-,-,"October 15, 2025"
Chatham-Kent Public Health (Ont.),Ontario,Chatham-Kent Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2021–2022,347,"Per 100,000",315,383,-,-,-,-,-,-,"October 15, 2025"
East Region (Ont.),Ontario,East Region (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2024–2025,347,"Per 100,000",341,353,-,"2,986,505",-,-,-,-,"October 15, 2025"
Estrie Region (Que.),Quebec,Estrie Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2019–2020,347,"Per 100,000",334,361,-,-,-,-,-,-,"October 15, 2025"
Fraser South HSDA (B.C.),British Columbia,Fraser South HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2015–2016,347,"Per 100,000",335,359,-,-,-,-,-,-,"October 15, 2025"
Nova Scotia,Nova Scotia,-,Province/territory,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2023–2024,327,"Per 100,000",317,337,-,-,-,2.1,28.2,-,"October 15, 2025"
British Columbia,British Columbia,-,Province/territory,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2016–2017,327,"Per 100,000",322,332,-,-,-,2.4,35.2,-,"October 15, 2025"
Edmonton Zone (Alta.),Alberta,Edmonton Zone (Alta.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2018–2019,327,"Per 100,000",318,336,-,-,-,-,-,-,"October 15, 2025"
Nova Scotia,Nova Scotia,-,Province/territory,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2024–2025,364,"Per 100,000",354,375,-,-,-,2.5,36.4,-,"October 15, 2025"
"Haliburton, Kawartha, Pine Ridge District Health Unit (Ont.)",Ontario,"Haliburton, Kawartha, Pine Ridge District Health Unit (Ont.)",Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2022–2023,364,"Per 100,000",340,391,-,-,-,-,-,-,"October 15, 2025"
"Kingston, Frontenac and Lennox & Addington Public Health (Ont.)",Ontario,"Kingston, Frontenac and Lennox & Addington Public Health (Ont.)",Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2021–2022,364,"Per 100,000",341,390,-,-,-,-,-,-,"October 15, 2025"
Okanagan HSDA (B.C.),British Columbia,Okanagan HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2016–2017,364,"Per 100,000",347,383,-,-,-,-,-,-,"October 15, 2025"
Zone 1 (Moncton Area) (N.B.),New Brunswick,Zone 1 (Moncton Area) (N.B.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,468,"Per 100,000",443,496,-,-,-,-,-,-,"October 15, 2025"
Lanaudière Region (Que.),Quebec,Lanaudière Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2015–2016,418,"Per 100,000",403,433,-,-,-,-,-,-,"October 15, 2025"
Mauricie et Centre-du-Québec Region (Que.),Quebec,Mauricie et Centre-du-Québec Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2018–2019,418,"Per 100,000",403,434,-,-,-,-,-,-,"October 15, 2025"
Outaouais Region (Que.),Quebec,Outaouais Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2016–2017,418,"Per 100,000",401,437,-,-,-,-,-,-,"October 15, 2025"
Zone 1 (Moncton Area) (N.B.),New Brunswick,Zone 1 (Moncton Area) (N.B.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2016–2017,418,"Per 100,000",394,443,-,-,-,-,-,-,"October 15, 2025"
Zone 1 (Moncton Area) (N.B.),New Brunswick,Zone 1 (Moncton Area) (N.B.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,404,"Per 100,000",381,429,-,-,-,-,-,-,"October 15, 2025"
Capitale-Nationale Region (Que.),Quebec,Capitale-Nationale Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2015–2016,265,"Per 100,000",256,275,-,-,-,-,-,-,"October 15, 2025"
Central Region (Ont.),Ontario,Central Region (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,265,"Per 100,000",260,270,-,-,-,-,-,-,"October 15, 2025"
Central Region (Ont.),Ontario,Central Region (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2018–2019,265,"Per 100,000",261,270,-,-,-,-,-,-,"October 15, 2025"
Laval Region (Que.),Quebec,Laval Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2019–2020,265,"Per 100,000",252,278,-,-,-,-,-,-,"October 15, 2025"
Niagara Region Public Health (Ont.),Ontario,Niagara Region Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2020–2021,265,"Per 100,000",252,279,-,-,-,-,-,-,"October 15, 2025"
Renfrew County and District Health Unit (Ont.),Ontario,Renfrew County and District Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2020–2021,265,"Per 100,000",239,296,-,-,-,-,-,-,"October 15, 2025"
Windsor–Essex County Health Unit (Ont.),Ontario,Windsor–Essex County Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2020–2021,265,"Per 100,000",251,280,-,-,-,-,-,-,"October 15, 2025"
Zone 1 (Moncton Area) (N.B.),New Brunswick,Zone 1 (Moncton Area) (N.B.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2020–2021,265,"Per 100,000",246,285,-,-,-,-,-,-,"October 15, 2025"
British Columbia,British Columbia,-,Province/territory,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2024–2025,278,"Per 100,000",274,283,-,-,-,2.4,34.6,-,"October 15, 2025"
Durham Region Health Department (Ont.),Ontario,Durham Region Health Department (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2023–2024,278,"Per 100,000",267,289,-,-,-,-,-,-,"October 15, 2025"
Zone 1 (Moncton Area) (N.B.),New Brunswick,Zone 1 (Moncton Area) (N.B.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2021–2022,278,"Per 100,000",259,299,-,-,-,-,-,-,"October 15, 2025"
Middlesex–London Health Unit (Ont.),Ontario,Middlesex–London Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2020–2021,271,"Per 100,000",258,285,-,-,-,-,-,-,"October 15, 2025"
Peel Public Health (Ont.),Ontario,Peel Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,271,"Per 100,000",263,279,-,-,-,-,-,-,"October 15, 2025"
Vancouver HSDA (B.C.),British Columbia,Vancouver HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,271,"Per 100,000",260,283,-,-,-,-,-,-,"October 15, 2025"
Zone 1 (Moncton Area) (N.B.),New Brunswick,Zone 1 (Moncton Area) (N.B.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2022–2023,271,"Per 100,000",253,291,-,-,-,-,-,-,"October 15, 2025"
Zone 2 (Saint John Area) (N.B.),New Brunswick,Zone 2 (Saint John Area) (N.B.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,516,"Per 100,000",487,547,-,-,-,-,-,-,"October 15, 2025"
Central Zone (Alta.),Alberta,Central Zone (Alta.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2018–2019,483,"Per 100,000",465,501,-,-,-,-,-,-,"October 15, 2025"
Renfrew County and District Health Unit (Ont.),Ontario,Renfrew County and District Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2015–2016,483,"Per 100,000",449,520,-,-,-,-,-,-,"October 15, 2025"
Southwestern Public Health (Ont.),Ontario,Southwestern Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2019–2020,483,"Per 100,000",457,511,-,-,-,-,-,-,"October 15, 2025"
Zone 2 (Saint John Area) (N.B.),New Brunswick,Zone 2 (Saint John Area) (N.B.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2015–2016,483,"Per 100,000",456,513,-,-,-,-,-,-,"October 15, 2025"
Central Zone (Alta.),Alberta,Central Zone (Alta.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2024–2025,449,"Per 100,000",432,467,-,"456,702",-,-,-,-,"October 15, 2025"
Peterborough Public Health (Ont.),Ontario,Peterborough Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2023–2024,449,"Per 100,000",419,482,-,-,-,-,-,-,"October 15, 2025"
Timiskaming Health Unit (Ont.),Ontario,Timiskaming Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2020–2021,449,"Per 100,000",393,517,-,-,-,-,-,-,"October 15, 2025"
Zone 2 (Saint John Area) (N.B.),New Brunswick,Zone 2 (Saint John Area) (N.B.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2019–2020,449,"Per 100,000",422,477,-,-,-,-,-,-,"October 15, 2025"
Durham Region Health Department (Ont.),Ontario,Durham Region Health Department (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2015–2016,330,"Per 100,000",317,343,-,-,-,-,-,-,"October 15, 2025"
Kootenay–Boundary HSDA (B.C.),British Columbia,Kootenay–Boundary HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2015–2016,330,"Per 100,000",297,368,-,-,-,-,-,-,"October 15, 2025"
Kootenay–Boundary HSDA (B.C.),British Columbia,Kootenay–Boundary HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2016–2017,330,"Per 100,000",298,367,-,-,-,-,-,-,"October 15, 2025"
Okanagan HSDA (B.C.),British Columbia,Okanagan HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2022–2023,330,"Per 100,000",314,347,-,-,-,-,-,-,"October 15, 2025"
Saskatoon Zone (Sask.),Saskatchewan,Saskatoon Zone (Sask.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,330,"Per 100,000",311,350,-,-,-,-,-,-,"October 15, 2025"
