Place or organization,Province/territory,Region,Reporting level,Indicator,Time scale,Time frame,Age-standardized rate,Unit of measure,Confidence interval lower limit,Confidence interval upper limit,Numerator,Denominator,Crude rate,Rate ratio (income),Potential rate reduction (income),Percent,Refresh date
South Zone (Alta.),Alberta,South Zone (Alta.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2023–2024,349,"Per 100,000",330,369,-,-,-,-,-,-,"October 15, 2025"
Wellington–Dufferin–Guelph Public Health (Ont.),Ontario,Wellington–Dufferin–Guelph Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2022–2023,349,"Per 100,000",331,369,-,-,-,-,-,-,"October 15, 2025"
Windsor–Essex County Health Unit (Ont.),Ontario,Windsor–Essex County Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2022–2023,349,"Per 100,000",334,366,-,-,-,-,-,-,"October 15, 2025"
Alberta,Alberta,-,Province/territory,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2015–2016,414,"Per 100,000",408,420,-,-,-,-,-,-,"October 15, 2025"
Interior Health (B.C.),British Columbia,Interior Health (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,414,"Per 100,000",401,428,-,-,-,-,-,-,"October 15, 2025"
"Kingston, Frontenac and Lennox & Addington Public Health (Ont.)",Ontario,"Kingston, Frontenac and Lennox & Addington Public Health (Ont.)",Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2023–2024,414,"Per 100,000",389,440,-,-,-,-,-,-,"October 15, 2025"
Porcupine Health Unit (Ont.),Ontario,Porcupine Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2020–2021,414,"Per 100,000",378,454,-,-,-,-,-,-,"October 15, 2025"
Lambton Public Health (Ont.),Ontario,Lambton Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2015–2016,450,"Per 100,000",418,484,-,-,-,-,-,-,"October 15, 2025"
North Central West Zone (Sask.),Saskatchewan,North Central West Zone (Sask.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2020–2021,450,"Per 100,000",409,494,-,-,-,-,-,-,"October 15, 2025"
Northern Interior HSDA (B.C.),British Columbia,Northern Interior HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,450,"Per 100,000",420,483,-,-,-,-,-,-,"October 15, 2025"
Saskatchewan,Saskatchewan,-,Province/territory,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2024–2025,444,"Per 100,000",433,455,-,-,-,3.0,39.4,-,"October 15, 2025"
Lambton Public Health (Ont.),Ontario,Lambton Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,444,"Per 100,000",413,479,-,-,-,-,-,-,"October 15, 2025"
Lambton Public Health (Ont.),Ontario,Lambton Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2018–2019,412,"Per 100,000",382,445,-,-,-,-,-,-,"October 15, 2025"
North Zone (Alta.),Alberta,North Zone (Alta.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2021–2022,412,"Per 100,000",395,431,-,-,-,-,-,-,"October 15, 2025"
North Bay Parry Sound District Health Unit (Ont.),Ontario,North Bay Parry Sound District Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,562,"Per 100,000",527,600,-,-,-,-,-,-,"October 15, 2025"
Northeast HSDA (B.C.),British Columbia,Northeast HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2023–2024,562,"Per 100,000",512,616,-,-,-,-,-,-,"October 15, 2025"
Timiskaming Health Unit (Ont.),Ontario,Timiskaming Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2023–2024,562,"Per 100,000",492,644,-,-,-,-,-,-,"October 15, 2025"
North Bay Parry Sound District Health Unit (Ont.),Ontario,North Bay Parry Sound District Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,646,"Per 100,000",607,689,-,-,-,-,-,-,"October 15, 2025"
North Bay Parry Sound District Health Unit (Ont.),Ontario,North Bay Parry Sound District Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2019–2020,571,"Per 100,000",534,610,-,-,-,-,-,-,"October 15, 2025"
Regina Zone (Sask.),Saskatchewan,Regina Zone (Sask.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,571,"Per 100,000",543,601,-,-,-,-,-,-,"October 15, 2025"
North Bay Parry Sound District Health Unit (Ont.),Ontario,North Bay Parry Sound District Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2023–2024,573,"Per 100,000",537,613,-,-,-,-,-,-,"October 15, 2025"
South East Zone (Sask.),Saskatchewan,South East Zone (Sask.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2019–2020,573,"Per 100,000",542,607,-,-,-,-,-,-,"October 15, 2025"
Alberta,Alberta,-,Province/territory,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2020–2021,264,"Per 100,000",260,269,-,-,-,3.1,39.9,-,"October 15, 2025"
Peel Public Health (Ont.),Ontario,Peel Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2016–2017,264,"Per 100,000",256,272,-,-,-,-,-,-,"October 15, 2025"
Peel Public Health (Ont.),Ontario,Peel Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2020–2021,182,"Per 100,000",176,189,-,-,-,-,-,-,"October 15, 2025"
Peel Public Health (Ont.),Ontario,Peel Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2021–2022,195,"Per 100,000",189,202,-,-,-,-,-,-,"October 15, 2025"
York Region Public Health (Ont.),Ontario,York Region Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,195,"Per 100,000",187,203,-,-,-,-,-,-,"October 15, 2025"
Porcupine Health Unit (Ont.),Ontario,Porcupine Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,735,"Per 100,000",686,788,-,-,-,-,-,-,"October 15, 2025"
Porcupine Health Unit (Ont.),Ontario,Porcupine Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,727,"Per 100,000",678,781,-,-,-,-,-,-,"October 15, 2025"
Porcupine Health Unit (Ont.),Ontario,Porcupine Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2015–2016,786,"Per 100,000",735,841,-,-,-,-,-,-,"October 15, 2025"
Porcupine Health Unit (Ont.),Ontario,Porcupine Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2016–2017,720,"Per 100,000",672,772,-,-,-,-,-,-,"October 15, 2025"
Porcupine Health Unit (Ont.),Ontario,Porcupine Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,693,"Per 100,000",646,744,-,-,-,-,-,-,"October 15, 2025"
